name,province,city,district,latitude,longitude,full_address,website,phone
防城区法院,广西壮族自治区,防城港市,防城区,21.771322,108.3539996,,,
易门县人民法院,云南省,玉溪市,易门县,24.6762959,102.1549469,,,
图们市人民法院,吉林省,延边朝鲜族自治州,图们市,42.9618132,129.8446466,,,
金湖县人民法院,江苏省,金湖县,金湖县,33.0087876,119.0139972,,,
泉港区人民法院,福建省,泉港,泉港区,25.1246197,118.9273075,,,
成华区人民法院,四川省,成都市,成华区,30.6808206,104.1181832,,,
柴桑区人民法院,江西省,九江市,柴桑区,29.6148056,115.910551,,,
宁德市蕉城区法院,福建省,宁德市,蕉城区,26.6397453,119.5383134,"蕉城南路56號 352100 寧德市, 福建省, 中國",,+86 593 296 9020
安多县法院,西藏自治区,那曲市,安多县,32.2570167,91.6740509,,,
武夷山市法院,福建省,南平市,武夷山市,27.7538142,118.0255674,,,
遵义市红花岗区人民法院,贵州省,遵义市,红花岗区,27.6614884,106.8963511,,,
遵义市绥阳县法院郑场法庭,贵州省,遵义市,绥阳县,27.8942007,107.2522742,,,
城步苗族自治县人民法院西岩人民法庭,湖南省,邵阳市,城步苗族自治县,26.6199168,110.4747468,,,
江岸区法院,湖北省,武汉市,江岸区,30.633454,114.2853666,,,
义乌市人民法院,浙江省,金华市,义乌市,29.2967561,120.05954,,,
上城区法院自行车租赁点,浙江省,杭州市,上城区,30.21782,120.16932,,,
红谷滩区人民法院生米法庭,江西省,南昌市,红谷滩区,28.5735385,115.7884473,,,
峡江县人民法院,江西省,吉安市,峡江县,27.5911935,115.3154144,,,
崇川区法院,江苏省,南通市,崇川区,32.0008945,120.8804185,工农路e(门北)通启路-虹桥路北135&南川园路南335,http://www.nantongbike.com/,
昌邑市人民法院,山东省,潍坊市,昌邑市,36.8419986,119.4048321,,,
新蔡县人民法院,河南省,驻马店市,新蔡县,32.7668443,114.9499958,,,
连城县法院,福建省,龙岩市,连城县,25.7087349,116.73593,,,
连城县法院,福建省,龙岩市,连城县,25.7090506,116.736153,,,
七里河区法院,甘肃省,兰州市,七里河区,36.0871877,103.7303567,,,
七里河区法院,甘肃省,兰州市,七里河区,36.0873026,103.7306035,,,
安宁区人民法院,甘肃省,兰州市,安宁区,36.09462,103.70204,富强路农大北门西北马路对面,,
城关区法院,西藏自治区,拉萨市,城关区,36.05938,103.88329,雁滩路城关区法院大门西侧,,
新建区人民法院大塘坪人民法庭,江西省,南昌市,新建区,28.9948574,115.9016009,,,
鄱阳县人民法院古县渡人民法庭,江西省,上饶市,鄱阳县,29.0889449,116.8682268,,,
安义县人民法院万埠人民法庭,江西省,南昌市,安义县,28.8561412,115.6549785,,,
安义县人民法院,江西省,南昌市,安义县,28.8449338,115.5415524,,,
安义县人民法院石鼻人民法庭,江西省,南昌市,安义县,28.7304699,115.567853,,,
头屯河区人民法院,新疆维吾尔自治区,乌鲁木齐市,头屯河区,43.8771151,87.4210626,,,
资兴市人民法院,湖南省,资兴市,资兴市,25.9657229,113.2302988,,http://zxsfy.chinacourt.org/,
新建区人民法院恒湖人民法庭,江西省,南昌市,新建区,29.0019932,116.076137,,,
龙泉驿区法院,四川省,成都市,龙泉驿区,30.5700115,104.2637497,,,
陇县法院,陕西省,宝鸡市,陇县,34.8935147,106.8587404,,,
四川省布拖县人民法院,四川省,凉山彝族自治州,布拖县,27.7133503,102.8054742,,,
临泉县人民法院,安徽省,阜阳市,临泉县,33.0488117,115.263134,,,
陇川县人民法院,云南省,德宏傣族景颇族自治州,陇川县,24.1722508,97.7940865,,,
梁河县初级人民法院,云南省,德宏傣族景颇族自治州,梁河县,24.8083422,98.2977615,,,
江陵县法院,湖北省,荆州市,江陵县,30.039986,112.4189061,,,
进贤县人民法院梅庄法庭,江西省,南昌市,进贤县,28.5851058,116.4115888,,,
措勤县人民法院,西藏自治区,阿里地区,措勤县,31.0171409,85.152508,,,
天津市河东区人民法院,山东省,临沂市,河东区,39.1166941,117.2311465,,,
徐州市泉山区人民法院,江苏省,徐州市,泉山区,34.2186164,117.1668436,,,
富阳区法院,浙江省,杭州市,富阳区,30.0631562,119.9378809,,,
富阳区法院,浙江省,杭州市,富阳区,30.0629024,119.9376703,,,
长武县人民法院,陕西省,咸阳市,长武县,35.2122333,107.7764848,,,
新会区人民法院,广东省,江门市,新会区,22.4611213,113.0259723,,,
临平区人民法院,浙江省,杭州市,临平区,30.4088523,120.2982426,,,
临平区人民法院,浙江省,杭州市,临平区,30.4073888,120.2960271,,,
鸡冠区法院,黑龙江省,鸡西市,鸡冠区,45.285406,130.9401287,,,
桐柏县人民法院安棚人民法院,河南省,南阳市,桐柏县,32.5817112,113.1644855,,,
章贡区人民法院,江西省,赣州市,章贡区,25.8253578,114.9177057,,,
雨湖区人民法院,湖南省,湘潭市,雨湖区,27.9613713,112.8554316,,,
开平市人民法院水口人民法庭,广东省,江门市,开平市,22.4447754,112.7741802,,,
蓬江区法院东区审判庭,广东省,江门市,蓬江区,22.5991834,113.0894252,,,
象山县法院西周法庭,浙江省,宁波市,象山县,29.4840175,121.6685106,,,
婺源县人民法院,江西省,上饶市,婺源县,29.2628769,117.8418689,,,
开平市人民法院,广东省,江门市,开平市,22.3703318,112.7061424,,,
信宜市人民法院北界人民法庭,广东省,茂名市,信宜市,22.3093076,110.8329835,,,
青州市人民法院,山东省,潍坊市,青州市,36.6874356,118.4984979,,,
井冈山市人民法院,江西省,吉安市,井冈山市,26.7519662,114.2825917,,,
东丰县人民法院执行局,吉林省,辽源市,东丰县,42.6854833,125.5144895,,,
东丰县人民法院,吉林省,辽源市,东丰县,42.6850613,125.5149508,,,
防城区人民法院大菉人民法庭,广西壮族自治区,防城港市,防城区,21.8630081,108.1250703,,,
清徐县人民法院徐沟人民法庭,山西省,太原市,清徐县,37.5639044,112.4978333,,,
新巴尔虎左旗人民法院,内蒙古自治区,呼伦贝尔市,新巴尔虎左旗,48.2250117,118.262671,,,
饶平县人民法院,广东省,潮州市,饶平县,23.6686665,116.9806489,,,
若尔盖县人民法院铁布人民法庭,四川省,阿坝藏族羌族自治州,若尔盖县,34.0969075,103.105805,,,
庄河市人民法院,辽宁省,大连市,庄河市,39.6781841,122.9642162,,,
宿城区法院,江苏省,宿迁市,宿城区,33.9614588,118.2348659,,,
宿城区法院,江苏省,宿迁市,宿城区,33.9616952,118.2330404,,,
瓯海区人民法院,浙江省,温州市,瓯海区,27.9704467,120.6092163,,,
徽县人民法院,甘肃省,陇南市,徽县,33.7890809,106.0641056,,,
礼县法院,甘肃省,陇南市,礼县,34.1884994,105.1872354,,,
防城区法院,广西壮族自治区,防城港市,防城区,21.7712423,108.354249,,,
铁锋区人民法院,黑龙江省,龙华街道,齐齐哈尔市,47.3323324,123.9635748,,,
天津市河西区人民法院,四川省,攀枝花市,西区,39.10246,117.2070063,,,
沧源佤族自治县人民法院,云南省,临沧市,沧源佤族自治县,23.1575526,99.2577217,,,
茂南区法院,广东省,茂名市,茂南区,21.6668873,110.9084882,,,
茂南区法院,广东省,茂名市,茂南区,21.6667412,110.9082431,,,
千阳县人民法院,陕西省,宝鸡市,千阳县,34.6430437,107.1295038,,,
成武县人民法院,山东省,菏泽市,成武县,34.9506616,115.8874357,,,
广州市番禺区人民法院大学城法庭,广东省,广州市,番禺区,23.0364548,113.4160241,,,
鹤山市人民法院龙口法庭,广东省,江门市,鹤山市,22.7812456,112.9180825,,,
屯昌县人民法院南坤庭,海南省,屯昌县,南坤镇,19.3215744,109.9565882,,,
宿豫区人民法院,江苏省,宿迁市,宿豫区,33.951371,118.3276148,,,
宿城区人民法院,江苏省,宿迁市,宿城区,33.9609021,118.2349433,,,
天宁区法院/天宁区检察院,江苏省,常州市,天宁区,31.7918958,119.9926117,,,
天宁区法院/天宁区检察院,江苏省,常州市,天宁区,31.7924537,119.9933104,,,
合水县人民法院,甘肃省,庆阳市,合水县,35.8273519,108.013882,,,
柳江区人民法院,广西壮族自治区,柳州市,柳江区,24.2508253,109.3317965,,,
南沙区人民法院万顷沙人民法庭,广东省,广州市,南沙区,22.7119468,113.5459739,,,
固安县人民法院,河北省,廊坊市,固安县,39.4408319,116.2951345,,,
新会区人民法院大泽法庭,广东省,江门市,大泽镇,22.5185432,112.9292409,,,
华龙区法院,河南省,濮阳市,华龙区,35.7777725,115.0711042,,,
华龙区法院,河南省,濮阳市,华龙区,35.7778962,115.0708217,,,
阿尔山市人民法院,内蒙古自治区,兴安盟,阿尔山市,47.1833274,119.9333877,,,
华池县法院,甘肃省,庆阳市,华池县,36.4200239,107.9555405,,,
濮阳市华龙区人民法院,河南省,濮阳市,华龙区,35.777828,115.0705399,,,
华龙区人民法院执行局,河南省,濮阳市,华龙区,35.7879222,115.0736386,,,
濮阳市华龙区人民法院中原人民法庭,河南省,濮阳市,华龙区,35.7759318,115.059589,,,
环县人民法院,甘肃省,庆阳市,环县,36.5669647,107.2992423,,,
桂林市七星区人民法院,广西壮族自治区,桂林市,七星区,25.2595373,110.3200521,,,
南乐县人民法院,河南省,濮阳市,南乐县,36.0579443,115.1992508,,,
台前县人民法院,河南省,濮阳市,台前县,35.9675173,115.8688549,,,
崇义县人民法院,江西省,赣州市,崇义县,25.6809585,114.3033886,,,
长清区法院,山东省,济南市,长清区,36.5520645,116.7520308,,,
长清区法院,山东省,济南市,长清区,36.5518856,116.7520469,,,
长清区法院,山东省,济南市,长清区,36.5519103,116.7520553,,,
长清区法院,山东省,济南市,长清区,36.5520399,116.7520192,,,
宿城区法院站,江苏省,宿迁市,宿城区,33.961449,118.2345448,,,
芝罘区法院 芝罘区检察院,山东省,烟台市,芝罘区,37.6026801,121.3703899,,,
芝罘区法院 芝罘区检察院,山东省,烟台市,芝罘区,37.6008302,121.3700463,,,
龙湾区人民法院,浙江省,温州市,龙湾区,27.9354246,120.8033332,,,
朝阳区人民法院亚运村人民法庭,吉林省,长春市,朝阳区,39.9700703,116.4327837,,,
芝罘区法院 芝罘区检察院,山东省,烟台市,芝罘区,37.6016268,121.3695663,,,
黄石港区人民法院,湖北省,黄石市,黄石港区,30.2317417,115.0494075,,,
泰州市海陵区人民法院,江苏省,泰州市,海陵区,32.4894785,119.9397537,,,
渭南市临渭区人民法院,陕西省,渭南市,临渭区,34.5231978,109.4815822,,,
纳溪区法院,四川省,泸州市,纳溪区,28.7897683,105.3809103,,,
纳溪区法院,四川省,泸州市,纳溪区,28.7899881,105.3805965,,,
江阳区法院,四川省,泸州市,江阳区,28.8891671,105.3939056,,,
江阳区法院,四川省,泸州市,江阳区,28.889935,105.3936951,,,
渭南市临渭区人民法院高新法庭,陕西省,渭南市,临渭区,34.5034831,109.4334051,,,
新会区人民法院崖门法庭,广东省,江门市,新会区,22.2994683,113.0521311,,,
阳春市人民法院春湾人民法庭,广东省,阳江市,阳春市,22.4543964,111.9491978,,,
信宜市人民法院,广东省,茂名市,信宜市,22.3284554,110.9294572,,,
普宁市人民法院洪阳人民法庭,广东省,揭阳市,普宁市,23.4325129,116.2002833,,,
惠来县人民法院,广东省,揭阳市,惠来县,23.0255256,116.2978642,,,
龙马潭区法院,四川省,泸州市,龙马潭区,28.9189197,105.4256442,,,
广州互联网法院,广东省,广州市,海珠区,23.100617,113.3370845,,https://gzinternetcourt.gov.cn/,+86 20 3195 0526
南安市人民法院,福建省,泉州市,南安市,24.9728539,118.4119523,,,
南昌市红谷滩区人民法院,江西省,南昌市,红谷滩区,28.6964285,115.7348844,,,
南昌市新建区人民法院招贤法庭,江西省,南昌市,新建区,28.6965663,115.7351183,,,
港口区人民法院,广西壮族自治区,防城港市,港口区,21.6455941,108.3789924,,,
舟山市定海区人民法院临城人民法庭,浙江省,舟山市,定海区,29.9963218,122.1857638,,,
信宜市人民法院计生专项执法工作组,广东省,茂名市,信宜市,22.3593318,110.9265372,,,
西秀区人民法院,贵州省,安顺市,西秀区,26.2633902,105.9738685,,,
梓潼县人民法院,四川省,绵阳市,梓潼县,31.6429898,105.1661087,,,
涿鹿县人民法院,河北省,张家口市,涿鹿县,40.3779832,115.1998856,,,
涿鹿县人民法院,河北省,张家口市,涿鹿县,40.3780587,115.1998794,,,
涿鹿县人民法院,河北省,张家口市,涿鹿县,40.3777563,115.1999867,,,
涿鹿县人民法院,河北省,张家口市,涿鹿县,40.3778849,115.1999741,,,
丹江口市人民法院,湖北省,十堰市,丹江口市,32.5433798,111.5089453,,,
阿拉山口市人民法院,新疆维吾尔自治区,博尔塔拉蒙古自治州,阿拉山口市,45.1761634,82.5602881,,,
商城鞋箱包市场(婺城区法院),浙江省,金华市,婺城区,29.0821378,119.6461559,,,
商城鞋箱包市场(婺城区法院),浙江省,金华市,婺城区,29.0813298,119.6465551,,,
高要区法院,广东省,肇庆市,高要区,23.0315709,112.464927,,,
高要区法院,广东省,肇庆市,高要区,23.0312782,112.4655957,,,
汤旺县人民法院,黑龙江省,伊春市,汤旺县,48.453793,129.5524199,,,
临湘市人民法院,湖南省,岳阳市,临湘市,29.4757278,113.4308846,,,
杭州市富阳区人民法院共享法庭(鹳山社区),浙江省,杭州市,富阳区,30.0503342,119.9581815,,,
宿城区人民法院骆马湖流域环境资源法庭,江苏省,宿迁市,宿城区,34.0501614,118.2761389,,,
泗阳县人民法院,江苏省,宿迁市,泗阳县,33.7230218,118.7004355,,,
