name,province,city,district,latitude,longitude,full_address,website,phone
防城区法院,广西壮族自治区,防城港市,防城区,21.771322,108.3539996,,,
观塘裁判法院,,,,22.3097289,114.2293473,,,
思明法院站,,,,24.4779852,118.111169,,,
易门县人民法院,云南省,玉溪市,易门县,24.6762959,102.1549469,,,
怡乐美食广场,,,,38.8890079,121.5415919,,,
黄冈市中级人民法院,湖北省,黄冈市,,30.4592017,114.8929885,,,
金钟站 - 高等法院,,,,22.278399,114.163885,,,
蒋集法庭,,,,32.2958875,115.7648654,,,
区域法院,,,,22.2801815,114.1724028,,,
石湖墟街市熟食中心,,,,22.5021288,114.1307598,,,
联和墟街市熟食中心,,,,22.4999443,114.1444033,,,
中级法院,,,,32.0174899,120.8775436,,,
中级法院,,,,32.0168951,120.878015,,,
大新法庭,,,,33.1512787,115.5449567,,,
奥运村法庭,,,,40.0089099,116.3588276,,,
图们市人民法院,吉林省,延边朝鲜族自治州,图们市,42.9618132,129.8446466,,,
九江市中级人民法院,江西省,九江市,,29.7059323,116.0225892,,,
金湖县人民法院,江苏省,金湖县,金湖县,33.0087876,119.0139972,,,
泉港区人民法院,福建省,泉港,泉港区,25.1246197,118.9273075,,,
成华区人民法院,四川省,成都市,成华区,30.6808206,104.1181832,,,
柴桑区人民法院,江西省,九江市,柴桑区,29.6148056,115.910551,,,
辽宁省高级法院,辽宁省,,,41.8154618,123.4409858,,,
士美非路街市熟食中心,,,,22.2817106,114.1286851,,,
观塘法院,,,,22.3097371,114.229932,,,
观塘法院,,,,22.3097936,114.2298413,,,
观塘法院,,,,22.3098519,114.2297479,,,
广州市司法局,广东省,广州市,,23.1314184,113.2665549,,,
宁德市中级法院,福建省,宁德市,,26.654463,119.521937,"閩東西路8號 352100 寧德市, 福建省, 中國",,+86 593 282 2072
宁德市蕉城区法院,福建省,宁德市,蕉城区,26.6397453,119.5383134,"蕉城南路56號 352100 寧德市, 福建省, 中國",,+86 593 296 9020
市中级法院,,,,26.654334,119.521508,"寧德市, 福建省, 中國",,
安多县法院,西藏自治区,那曲市,安多县,32.2570167,91.6740509,,,
武夷山市法院,福建省,南平市,武夷山市,27.7538142,118.0255674,,,
法院门口,,,,28.6580765,121.2732895,,,
遵义市红花岗区人民法院,贵州省,遵义市,红花岗区,27.6614884,106.8963511,,,
遵义市绥阳县法院郑场法庭,贵州省,遵义市,绥阳县,27.8942007,107.2522742,,,
城步苗族自治县人民法院西岩人民法庭,湖南省,邵阳市,城步苗族自治县,26.6199168,110.4747468,,,
江岸区法院,湖北省,武汉市,江岸区,30.633454,114.2853666,,,
义乌市检察院,浙江省,金华市,义乌市,29.297758,120.0597455,,,
义乌市人民法院,浙江省,金华市,义乌市,29.2967561,120.05954,,,
胡族铺法庭,,,,32.1824556,115.4558089,,,
上城区法院自行车租赁点,浙江省,杭州市,上城区,30.21782,120.16932,,,
向塘镇人民法庭,,,,28.4378467,115.9591807,,,
红谷滩区人民法院生米法庭,江西省,南昌市,红谷滩区,28.5735385,115.7884473,,,
法院,,,,31.4115586,119.4743243,,,
法院,,,,31.4111264,119.4745532,,,
峡江县人民法院,江西省,吉安市,峡江县,27.5911935,115.3154144,,,
高银美食街,浙江省,杭州市,上城区,30.2427809,120.1627984,,,
寿司蛋挞果茶,,,,34.8424427,115.5470038,,,
观音人民法院,,,,29.0918532,104.3838732,,,
西部美食城,,,,36.2407414,117.1886749,,,
崇川区法院,江苏省,南通市,崇川区,32.0008945,120.8804185,工农路e(门北)通启路-虹桥路北135&南川园路南335,http://www.nantongbike.com/,
昌邑市人民法院,山东省,潍坊市,昌邑市,36.8419986,119.4048321,,,
粉岭法院大楼,,,,22.4956587,114.1396913,,,
思明法院站,,,,24.4782573,118.1112258,,,
新蔡县人民法院,河南省,驻马店市,新蔡县,32.7668443,114.9499958,,,
山西省高级人民法院,山西省,,,37.8400604,112.5265611,,,
吴山夜市,浙江省,杭州市,上城区,30.2553114,120.1642344,,,
市法院,,,,35.1116634,117.1567107,,,
市法院,,,,35.1112575,117.1567871,,,
营地街市熟食中心,,,,22.1944166,113.5398263,,,
连城县法院,福建省,龙岩市,连城县,25.7087349,116.73593,,,
