AdCode,OriginalRows,PerfectRows,RetainedRows,AvgMissingInRetained,PerfectBlocks,FilteredBlocks
110102,1053,15,100,0.85,2,10
110107,475,6,100,1.13,1,10
110117,429,0,100,1.72,0,10
110109,262,6,100,1.52,1,10
110108,2196,16,100,0.84,2,10
110114,1369,6,100,0.94,1,10
110106,2485,6,100,0.94,1,10
110101,1356,15,100,0.85,2,10
110116,354,13,100,1.35,2,10
110118,399,7,100,1.08,1,10
110105,3799,61,100,0.39,7,10
110119,230,2,100,1.68,1,10
110112,1145,3,100,0.97,1,10
110111,1036,33,100,0.67,4,10
110113,1212,0,100,1.71,0,10
110115,1766,47,100,0.53,5,10
120102,182,61,100,0.64,7,10
120110,1274,176,100,0.0,18,10
120101,784,139,100,0.0,14,10
120103,570,141,100,0.0,15,10
120106,729,178,100,0.0,18,10
120104,1203,273,100,0.0,28,10
130102,794,220,100,0.0,22,10
120112,1012,323,100,0.0,33,10
130107,127,39,100,1.38,4,10
120117,684,373,100,0.0,38,10
130108,720,59,100,0.41,6,10
130110,528,57,100,0.43,6,10
130109,810,62,100,0.38,7,10
130111,403,36,100,0.64,4,10
130121,344,65,100,0.35,7,10
120113,1291,517,100,0.0,52,10
130123,531,45,100,0.55,5,10
120118,1278,429,100,0.0,43,10
120111,1350,502,100,0.0,51,10
120115,1346,686,100,0.0,69,10
130127,228,18,100,0.82,2,10
130130,311,18,100,0.82,2,10
130125,246,122,100,0.0,13,10
130126,284,23,100,0.94,3,10
130128,182,95,100,0.05,10,10
130133,330,34,100,0.9,4,10
130183,515,8,100,1.37,1,10
130129,297,118,100,0.0,12,10
130105,922,382,100,0.0,39,10
130132,412,57,100,0.43,6,10
120119,734,594,100,0.0,60,10
120114,1174,683,100,0.0,69,10
130104,1474,402,100,0.0,41,10
130131,399,113,100,0.0,12,10
130181,756,67,100,0.33,7,10
130184,512,59,100,0.41,6,10
120105,6250,412,100,0.0,42,10
120116,3268,660,100,0.0,66,10
130202,524,213,100,0.0,22,10
130204,641,203,100,0.0,21,10
130303,102,44,100,1.1,5,10
130207,832,238,100,0.0,24,10
130205,291,241,100,0.0,25,10
130224,439,187,100,0.0,19,10
130304,162,34,100,1.45,4,10
130281,739,248,100,0.0,25,10
130208,1112,282,100,0.0,29,10
130225,503,199,100,0.0,20,10
130227,578,261,100,0.0,27,10
130209,612,276,100,0.0,28,10
130306,532,87,100,0.15,9,10
130321,238,82,100,0.18,9,10
130324,122,71,100,0.59,8,10
130203,994,442,100,0.0,45,10
130283,1198,363,100,0.0,37,10
130424,364,12,100,2.68,2,10
130404,251,53,100,0.55,6,10
130407,370,82,100,0.18,9,10
130302,833,383,100,0.0,39,10
130406,343,125,100,0.0,13,10
130403,1000,238,100,0.0,24,10
130430,217,50,100,1.26,5,10
130431,283,51,100,0.71,6,10
130322,756,262,100,0.0,27,10
130423,545,215,100,0.0,22,10
130426,442,53,100,0.47,6,10
130425,551,135,100,0.0,14,10
130432,305,72,100,0.31,8,10
130434,382,94,100,0.06,10,10
130402,728,286,100,0.0,29,10
130435,308,139,100,0.0,14,10
130229,1028,679,100,0.0,68,10
130433,301,78,100,0.35,8,10
130506,231,34,100,1.12,4,10
130427,510,186,100,0.0,19,10
130481,583,130,100,0.0,13,10
130530,94,30,94,0.82,3,10
130529,228,47,100,1.35,5,10
130528,285,116,100,0.0,12,10
130534,469,144,100,0.0,15,10
130522,221,103,100,0.0,11,10
130533,205,41,100,0.59,5,10
130531,203,72,100,0.28,8,10
130523,157,82,100,0.25,9,10
130408,1049,386,100,0.0,39,10
130602,657,253,100,0.0,26,10
130608,275,106,100,0.0,11,10
130524,159,128,100,0.0,13,10
130624,292,26,100,0.74,3,10
130607,494,254,100,0.0,26,10
130606,175,110,100,0.0,11,10
130609,828,449,100,0.0,45,10
130581,332,158,100,0.0,16,10
130627,525,114,100,0.0,12,10
130532,202,143,100,0.0,15,10
130525,303,159,100,0.0,16,10
130632,412,64,100,0.36,7,10
130623,259,135,100,0.0,14,10
130630,449,179,100,0.0,18,10
130683,186,109,100,0.0,11,10
130626,251,124,100,0.0,13,10
130535,257,122,100,0.0,13,10
130633,258,176,100,0.0,18,10
130634,633,268,100,0.0,27,10
130582,605,255,100,0.0,26,10
130629,272,145,100,0.0,15,10
130682,437,184,100,0.0,19,10
130637,221,98,100,0.02,10,10
130631,124,63,100,1.06,7,10
130635,371,138,100,0.0,14,10
130684,919,374,100,0.0,38,10
130723,146,34,100,2.08,4,10
130702,839,357,100,0.0,36,10
130703,291,97,100,0.03,10,10
130709,83,32,83,1.41,4,9
130636,284,105,100,0.0,11,10
130726,352,73,100,0.33,8,10
130628,524,209,100,0.0,21,10
130727,172,52,100,0.48,6,10
130706,75,23,75,1.39,3,8
130708,226,94,100,0.06,10,10
130725,115,46,100,1.49,5,10
130804,74,11,74,2.88,2,8
130728,121,55,100,1.15,6,10
130731,300,64,100,0.36,7,10
130724,236,100,100,0.0,10,10
130732,162,65,100,0.82,7,10
130722,342,113,100,0.0,12,10
130902,477,80,100,0.2,8,10
130827,459,49,100,0.51,5,10
130803,181,56,100,0.72,6,10
130824,459,30,100,1.51,3,10
130825,543,21,100,2.2,3,10
130821,547,197,100,0.0,20,10
130730,398,195,100,0.0,20,10
130922,409,37,100,0.63,4,10
130924,196,69,100,0.53,7,10
130921,582,204,100,0.0,21,10
130926,423,177,100,0.0,18,10
130881,387,36,100,0.64,4,10
130638,363,277,100,0.0,28,10
130828,340,57,100,0.93,6,10
130705,424,247,100,0.0,25,10
130928,210,88,100,0.12,9,10
130925,350,220,100,0.0,22,10
130822,760,184,100,0.0,19,10
130903,612,391,100,0.0,40,10
130826,308,92,100,0.08,10,10
131023,365,64,100,0.36,7,10
130802,759,215,100,0.0,22,10
131025,581,298,100,0.0,30,10
130927,283,31,100,0.69,4,10
130923,337,76,100,0.24,8,10
130981,616,337,100,0.0,34,10
130930,304,138,100,0.0,14,10
131003,659,218,100,0.0,22,10
131081,683,189,100,0.0,19,10
131122,373,96,100,0.04,10,10
130983,867,346,100,0.0,35,10
131002,518,151,100,0.0,16,10
130681,820,400,100,0.0,40,10
131028,139,31,100,1.91,4,10
131128,421,22,100,0.78,3,10
131022,206,120,100,0.0,12,10
131123,332,102,100,0.0,11,10
131126,486,201,100,0.0,21,10
131127,700,303,100,0.0,31,10
131124,436,289,100,0.0,29,10
131102,1321,659,100,0.0,66,10
131103,498,135,100,0.0,14,10
131121,491,209,100,0.0,21,10
130929,611,311,100,0.0,32,10
131125,596,311,100,0.0,32,10
140105,769,45,100,0.88,5,10
131026,733,289,100,0.0,29,10
140109,685,28,100,1.33,3,10
140213,1,0,1,2.0,0,1
140214,1,0,1,1.0,0,1
130982,1511,907,100,0.0,91,10
140215,1,0,1,0.0,0,1
131182,697,282,100,0.0,29,10
131024,373,111,100,0.0,12,10
140223,56,31,56,0.46,4,6
140222,64,23,64,0.95,3,7
140121,157,130,100,0.0,13,10
140123,81,11,81,2.62,2,9
140110,251,51,100,0.49,6,10
140181,82,31,82,1.48,4,9
140212,65,5,65,2.17,1,7
140122,90,54,90,0.42,6,9
140322,326,50,100,0.5,5,10
130984,884,541,100,0.0,55,10
140107,743,270,100,0.0,27,10
140225,149,52,100,0.48,6,10
140226,152,28,100,1.2,3,10
140321,427,19,100,0.81,2,10
140302,530,46,100,0.95,5,10
140311,273,35,100,0.65,4,10
140224,98,80,98,0.18,8,10
140108,930,139,100,0.0,14,10
140430,77,5,77,1.42,1,8
140427,198,45,100,1.1,5,10
140406,218,148,100,0.0,15,10
140425,70,44,70,0.34,5,7
140522,450,5,100,2.31,1,10
140429,87,44,87,0.25,5,9
140303,320,91,100,0.09,10,10
140521,251,12,100,2.19,2,10
140426,185,52,100,0.58,6,10
140428,139,24,100,0.48,3,10
140423,370,113,100,0.0,12,10
140431,172,105,100,0.0,11,10
140405,215,141,100,0.0,15,10
131082,989,428,100,0.0,43,10
140622,97,74,97,0.29,8,10
140681,260,49,100,0.8,5,10
140623,67,24,67,0.82,3,7
140524,142,109,100,0.0,11,10
140603,95,71,95,0.38,8,10
140221,1340,414,100,0.0,42,10
140602,341,22,100,1.75,3,10
140722,304,25,100,0.87,3,10
140581,643,299,100,0.0,30,10
140721,85,46,85,0.92,5,9
140106,2033,1070,100,0.0,107,10
140703,391,71,100,0.29,8,10
140621,166,97,100,0.03,10,10
140725,207,18,100,1.27,2,10
140525,345,257,100,0.0,26,10
140728,301,9,100,1.37,1,10
140821,511,93,100,0.07,10,10
140781,280,30,100,1.17,3,10
140729,398,191,100,0.0,20,10
140724,169,74,100,0.26,8,10
140723,245,129,100,0.0,13,10
140824,448,315,100,0.0,32,10
