法律依据,出现次数
《中华人民共和国刑法》第67条第61款,2058815
《中华人民共和国刑法》第72条第71款,972104
《中华人民共和国刑法》第264条,587774
《中华人民共和国刑法(1997年)》第67条第61款,527996
《中华人民共和国刑法》第52条,498488
《中华人民共和国刑法(1997年)》第72条第71款,494048
《中华人民共和国刑法》第53条,432473
《中华人民共和国刑法》第73条第71款,394033
《中华人民共和国刑法》第64条,348683
《中华人民共和国刑法(1997年)》第264条,317892
《中华人民共和国刑法》第133条第131款,292593
《中华人民共和国刑法》第65条第61款,277138
《中华人民共和国刑法(1997年)》第52条,240595
《中华人民共和国刑法(1997年)》第53条,213512
《中华人民共和国刑法(1997年)》第73条第71款,194727
《中华人民共和国刑法(1997年)》第64条,163032
《中华人民共和国刑法(1997年)》第133条第131款,131779
《中华人民共和国刑法(1997年)》第65条第61款,129534
《中华人民共和国刑法》第234条第231款,123736
《中华人民共和国刑事诉讼法(2012年)》第225条第221款,119924
《中华人民共和国刑法》第133条,118514
《中华人民共和国刑法》第61条,110208
《中华人民共和国刑法》第347条第341款,86395
《中华人民共和国刑法》第25条第21款,81825
《中华人民共和国刑法(1997年)》第234条第231款,77515
《中华人民共和国刑法(1997年)》第133条,69701
《中华人民共和国刑法(1997年)》第347条第341款,60638
《中华人民共和国刑法(1997年)》第61条,52388
《中华人民共和国刑法(1997年)》第25条第21款,49447
《中华人民共和国刑法》第354条,45914
《中华人民共和国刑法》第266条,45844
《中华人民共和国刑法》第47条,45055
《中华人民共和国刑法》第42条,43755
《中华人民共和国刑法》第69条第61款,42975
《最高人民法院关于审理交通肇事刑事案件具体应用法律若干问题的解释》第2条第1款,34977
《最高人民法院关于处理自首和立功具体应用法律若干问题的解释》第1条,34219
《中华人民共和国刑法》第196条第191款,33773
《中华人民共和国刑法》第45条,32270
《中华人民共和国刑法》第76条,31958
《中华人民共和国刑法》第23条第21款,28155
《中华人民共和国刑事诉讼法(2012年)》第279条,26791
《中华人民共和国刑法》第293条第291款,26488
《中华人民共和国刑法》第293条,26488
《最高人民法院关于适用财产刑若干问题的规定》第2条第1款,26308
《中华人民共和国刑法》第345条第341款,24593
《中华人民共和国刑法》第62条,24185
《中华人民共和国刑法》第78条第71款,23467
《中华人民共和国刑法(1997年)》第354条,23096
《中华人民共和国刑法》第44条,23041
《中华人民共和国刑法》第303条第301款,22375
《中华人民共和国刑法》第303条,22375
《中华人民共和国刑法》第356条,21651
《中华人民共和国刑法(1997年)》第69条第61款,20969
《中华人民共和国刑法(1997年)》第266条,20586
《中华人民共和国刑法(1997年)》第196条第191款,20380
《中华人民共和国刑法(1997年)》第42条,19991
《中华人民共和国刑法》第27条第21款,19284
《中华人民共和国刑法(1997年)》第47条,19145
《中华人民共和国刑法》第26条第21款,18757
《中华人民共和国刑法(1997年)》第23条第21款,18160
《中华人民共和国刑法》第225条,18049
《中华人民共和国刑事诉讼法(2012年)》第195条,16943
《中华人民共和国刑法》第128条第121款,16862
《中华人民共和国刑法》第277条第271款,15545
《中华人民共和国刑法》第77条第71款,15407
《中华人民共和国刑法》第312条,15403
《中华人民共和国刑法》第263条,14842
《中华人民共和国刑法(1997年)》第76条,13807
《中华人民共和国刑法》第37条,13745
《中华人民共和国刑法(1997年)》第293条第291款,13707
《中华人民共和国刑法(1997年)》第293条,13707
《中华人民共和国刑法(1997年)》第45条,13677
《中华人民共和国刑法》第383条第381款,13599
《最高人民法院关于适用财产刑若干问题的规定》第5条,13472
《中华人民共和国刑法(1997年)》第312条,13295
《中华人民共和国刑法》第348条,12594
《中华人民共和国刑法(1997年)》第356条,12366
《中华人民共和国刑法(1997年)》第263条,11514
《中华人民共和国刑法(1997年)》第303条第301款,11320
《中华人民共和国刑法(1997年)》第303条,11320
《中华人民共和国刑法》第68条第61款,11267
《中华人民共和国刑法》第68条,11237
《最高人民法院关于适用财产刑若干问题的规定》第1条,11064
《中华人民共和国刑法(1997年)》第225条,10652
《中华人民共和国刑法(1997年)》第44条,10439
《最高人民法院关于处理自首和立功具体应用法律若干问题的解释》第3条,10376
《中华人民共和国刑事诉讼法(2012年)》第262条第261款,10134
《中华人民共和国刑法》第79条,9837
《中华人民共和国刑法(1997年)》第26条第21款,9807
《中华人民共和国刑法(1997年)》第27条第21款,9639
《最高人民法院、最高人民检察院关于办理盗窃刑事案件适用法律若干问题的解释》第1条第1款,9610
《中华人民共和国刑法(1997年)》第62条,9508
《最高人民法院、最高人民检察院关于办理盗窃刑事案件适用法律若干问题的解释》第14条,9442
《中华人民共和国刑事诉讼法》第305条第301款,9361
《中华人民共和国刑法》第141条第141款,9340
《中华人民共和国刑法》第224条,9216
《中华人民共和国刑法》第342条,8993
《中华人民共和国刑法》第385条第381款,8931
《最高人民法院关于适用财产刑若干问题的规定》第8条,8916
《中华人民共和国刑法》第274条,8778
